id,order_id,user_id,product_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
101104,69639,55545,14235,Cancelled,2021-12-27 23:35:57+00:00,,,,0.0199999995529651
17970,12402,9819,14235,Complete,2024-01-21 08:21:43+00:00,2024-01-19 18:09:00+00:00,2024-01-21 09:20:00+00:00,,0.0199999995529651
46481,32099,25651,14235,Complete,2019-10-06 06:14:19+00:00,2019-10-03 13:08:00+00:00,2019-10-04 01:04:00+00:00,,0.0199999995529651
162654,112208,89828,14235,Processing,2022-12-11 00:43:18+00:00,,,,0.0199999995529651
61938,42730,34156,14235,Returned,2023-09-20 11:58:48+00:00,2023-09-23 14:58:00+00:00,2023-09-25 07:58:00+00:00,2023-09-28 00:40:00+00:00,0.0199999995529651
117130,80725,64596,14235,Returned,2023-12-28 08:00:06+00:00,2023-12-30 07:14:00+00:00,2024-01-02 06:12:00+00:00,2024-01-03 09:13:00+00:00,0.0199999995529651
180070,124268,99565,14235,Shipped,2024-02-08 14:55:02+00:00,2024-02-10 19:42:00+00:00,,,0.0199999995529651
160886,110954,88799,14159,Cancelled,2023-06-07 07:48:24+00:00,,,,0.4900000095367431
177929,122779,98382,14159,Cancelled,2024-02-15 18:10:54+00:00,,,,0.4900000095367431
15527,10713,8472,14159,Complete,2023-04-15 14:29:33+00:00,2023-04-17 18:57:00+00:00,2023-04-21 11:01:00+00:00,,0.4900000095367431
35519,24542,19640,14159,Complete,2022-06-29 05:53:39+00:00,2022-06-30 00:38:00+00:00,2022-07-01 05:36:00+00:00,,0.4900000095367431
101041,69598,55514,14159,Complete,2023-10-08 09:42:06+00:00,2023-10-07 06:32:00+00:00,2023-10-09 17:17:00+00:00,,0.4900000095367431
41290,28516,22819,14159,Shipped,2019-03-04 00:32:13+00:00,2019-03-02 15:32:00+00:00,,,0.4900000095367431
128018,88253,70607,14159,Shipped,2023-11-01 06:04:03+00:00,2023-10-31 17:04:00+00:00,,,0.4900000095367431
165371,114053,91327,14159,Shipped,2020-10-15 02:33:36+00:00,2020-10-16 16:47:00+00:00,,,0.4900000095367431
114567,78937,63170,28700,Cancelled,2020-02-23 14:17:43+00:00,,,,1.5
72943,50257,40118,28700,Complete,2023-11-23 16:48:18+00:00,2023-11-24 08:31:00+00:00,2023-11-27 18:40:00+00:00,,1.5
144038,99381,79616,28700,Complete,2021-06-05 00:14:03+00:00,2021-06-06 15:34:00+00:00,2021-06-11 01:04:00+00:00,,1.5
73418,50568,40380,28700,Processing,2023-02-23 08:40:40+00:00,,,,1.5
79507,54749,43720,14202,Processing,2023-02-28 07:24:49+00:00,,,,1.5
166267,114686,91826,14202,Processing,2023-07-25 16:29:38+00:00,,,,1.5
176373,121704,97517,28700,Processing,2023-12-05 01:30:43+00:00,,,,1.5
1606,1104,845,28700,Returned,2019-09-24 16:01:18+00:00,2019-09-26 09:30:00+00:00,2019-09-29 21:17:00+00:00,2019-10-02 12:11:00+00:00,1.5
47171,32574,26027,14202,Returned,2022-06-01 03:14:12+00:00,2022-06-01 09:50:00+00:00,2022-06-06 02:08:00+00:00,2022-06-08 20:08:00+00:00,1.5
69292,47803,38173,14202,Returned,2022-02-01 15:05:09+00:00,2022-02-02 09:37:00+00:00,2022-02-03 17:51:00+00:00,2022-02-04 07:21:00+00:00,1.5
32041,22169,17652,28700,Shipped,2020-07-30 18:01:58+00:00,2020-07-31 02:13:00+00:00,,,1.5
62925,43419,34712,14202,Shipped,2022-03-26 13:31:05+00:00,2022-03-24 18:43:00+00:00,,,1.5
171330,118172,94589,28700,Shipped,2023-04-14 02:12:18+00:00,2023-04-12 23:04:00+00:00,,,1.5
140535,96952,77598,13629,Complete,2023-06-22 15:46:58+00:00,2023-06-23 06:07:00+00:00,2023-06-27 17:13:00+00:00,,1.5099999904632568
16086,11095,8763,13629,Processing,2023-11-18 22:37:50+00:00,,,,1.5099999904632568
42306,29222,23381,14298,Complete,2024-03-17 02:56:14+00:00,2024-03-17 14:03:00+00:00,2024-03-19 20:24:00+00:00,,1.7200000286102295
143686,99141,79414,14298,Complete,2023-01-24 22:59:39+00:00,2023-01-25 02:13:00+00:00,2023-01-25 20:32:00+00:00,,1.7200000286102295
50492,34855,27870,14298,Returned,2024-02-12 05:51:37+00:00,2024-02-14 15:12:00+00:00,2024-02-14 18:22:00+00:00,2024-02-15 09:28:00+00:00,1.7200000286102295
130052,89619,71682,14298,Returned,2022-05-27 03:01:50+00:00,2022-05-27 13:11:00+00:00,2022-06-01 07:56:00+00:00,2022-06-02 13:39:00+00:00,1.7200000286102295
57831,39864,31870,14298,Shipped,2024-04-27 12:57:25+00:00,2024-04-28 07:09:00+00:00,,,1.7200000286102295
106584,73408,58631,14298,Shipped,2020-10-15 01:29:03+00:00,2020-10-15 19:17:00+00:00,,,1.7200000286102295
109830,75676,60510,12536,Cancelled,2024-03-07 22:37:59+00:00,,,,1.75
160697,110823,88702,12536,Cancelled,2022-01-17 11:03:27+00:00,,,,1.75
92789,63915,50939,12536,Complete,2020-07-11 23:52:48+00:00,2020-07-12 13:08:00+00:00,2020-07-13 10:13:00+00:00,,1.75
107778,74230,59340,12536,Returned,2023-06-01 11:11:58+00:00,2023-06-03 16:29:00+00:00,2023-06-08 05:56:00+00:00,2023-06-10 01:55:00+00:00,1.75
179555,123912,99280,12536,Returned,2023-06-16 23:44:11+00:00,2023-06-17 09:05:00+00:00,2023-06-19 16:47:00+00:00,2023-06-21 09:40:00+00:00,1.75
50561,34902,27909,12536,Shipped,2023-11-20 00:57:28+00:00,2023-11-21 06:50:00+00:00,,,1.75
