customer_id,recency,frequency,monetary,F_score,R_score,M_score,RFM_score,segment
42711,1083,1,67.98999786376953,1,1,3,113,Lost
48284,778,1,29.989999771118164,1,2,2,212,Lost
82244,449,1,8.5,1,3,1,311,Inactive Customers
65264,885,1,25.0,1,1,1,111,Lost
14324,556,1,5.989999771118164,1,2,1,211,Inactive Customers
39794,609,1,307.0,1,2,5,215,Inactive Customers
88078,143,1,115.0,1,4,4,414,Inactive Customers
72449,324,1,11.989999771118164,1,3,1,311,Inactive Customers
32655,832,1,51.150001525878906,1,1,3,113,Lost
80939,588,1,180.0,1,2,5,215,Inactive Customers
83810,1192,1,105.0,1,1,4,114,Lost
92300,91,1,130.98999786376953,1,4,4,414,High-Value New
49635,147,2,109.75,2,4,4,424,Repeat Buyers
1566,1317,1,69.5,1,1,3,113,Lost
35526,1,1,50.459999084472656,1,5,3,513,New Customers
58125,222,1,54.0,1,4,3,413,Inactive Customers
24165,169,1,86.95000076293945,1,4,4,414,Inactive Customers
89429,419,1,38.0,1,3,2,312,Inactive Customers
66615,1485,1,61.94000244140625,1,1,3,113,Lost
75320,288,1,179.9000015258789,1,3,5,315,Inactive Customers
41145,1154,1,153.0,1,1,5,115,Lost
54072,204,1,69.0,1,4,3,413,Inactive Customers
79373,381,1,36.0,1,3,2,312,Inactive Customers
71052,60,1,101.5,1,5,4,514,New Customers
17026,1107,1,11.989999771118164,1,1,1,111,Lost
68135,122,1,53.0,1,4,3,413,Inactive Customers
49804,6,1,38.0,1,5,2,512,New Customers
66661,130,2,67.9000015258789,2,4,3,423,Repeat Buyers
66784,380,2,71.89000129699707,2,3,3,323,Repeat Buyers
32824,10,1,50.0,1,5,3,513,New Customers
61042,797,1,97.97999954223631,1,2,4,214,Lost
44062,281,1,50.0,1,3,3,313,Inactive Customers
1397,396,1,189.98999786376956,1,3,5,315,Inactive Customers
72403,665,1,111.59999847412108,1,2,4,214,Inactive Customers
93482,380,1,120.0,1,3,4,314,Inactive Customers
48115,158,1,108.62000274658205,1,4,4,414,Inactive Customers
37046,5,1,10.3100004196167,1,5,1,511,New Customers
11576,79,1,12.989999771118164,1,5,1,511,New Customers
45536,615,1,53.9900016784668,1,2,3,213,Inactive Customers
48453,897,1,64.4000015258789,1,1,3,113,Lost
5665,51,1,25.0,1,5,1,511,New Customers
12927,2,1,199.0,1,5,5,515,High-Value New
72234,485,2,81.98000144958496,2,2,4,224,Repeat Buyers
69701,309,1,49.9900016784668,1,3,3,313,Inactive Customers
69363,285,1,140.0,1,3,4,314,Inactive Customers
