segment,category,num_orders,revenue,pct_revenue_within_segment
High-Value New,Outerwear & Coats,252,51017.7100315094,19.1
High-Value New,Jeans,264,38621.04006195068,14.46
High-Value New,Sweaters,194,22796.840003967285,8.53
High-Value New,Suits & Sport Coats,109,20369.260085105896,7.62
High-Value New,Dresses,108,15481.160021781921,5.79
High-Value New,Sleep & Lounge,155,12870.770040512085,4.82
High-Value New,Accessories,129,11554.630036830902,4.32
High-Value New,Swim,129,10958.41001701355,4.1
High-Value New,Fashion Hoodies & Sweatshirts,128,9126.8499917984,3.42
High-Value New,Tops & Tees,128,8698.110014915466,3.26
High-Value New,Blazers & Jackets,55,8667.870018005371,3.24
High-Value New,Shorts,121,8478.090016841888,3.17
High-Value New,Pants,97,8204.919998168945,3.07
High-Value New,Active,101,7341.490003585815,2.75
High-Value New,Intimates,131,7002.620008468628,2.62
High-Value New,Maternity,63,4842.239989280701,1.81
High-Value New,Suits,30,4315.020042419434,1.62
High-Value New,Plus,67,4221.080028772354,1.58
High-Value New,Pants & Capris,39,3102.59002494812,1.16
High-Value New,Underwear,68,2112.2699995040894,0.79
High-Value New,Skirts,22,1969.7499980926514,0.74
High-Value New,Leggings,35,1715.1300067901611,0.64
High-Value New,Jumpsuits & Rompers,14,1515.7400045394897,0.57
High-Value New,Socks,59,1179.8600015640259,0.44
High-Value New,Clothing Sets,4,597.9399948120117,0.22
High-Value New,Socks & Hosiery,26,399.1099977493286,0.15
Inactive Customers,Jeans,1266,129584.97021389008,12.28
Inactive Customers,Outerwear & Coats,824,123447.2598400116,11.7
Inactive Customers,Sweaters,1040,80888.16007137299,7.66
Inactive Customers,Fashion Hoodies & Sweatshirts,1236,68316.20010185242,6.47
Inactive Customers,Swim,1064,62102.48006248474,5.88
Inactive Customers,Suits & Sport Coats,501,61440.77983665466,5.82
Inactive Customers,Shorts,1067,53733.670135974884,5.09
Inactive Customers,Sleep & Lounge,1019,51630.37018299103,4.89
Inactive Customers,Tops & Tees,1148,50790.46017861366,4.81
Inactive Customers,Intimates,1212,45412.49003577232,4.3
Inactive Customers,Accessories,969,43290.19992174581,4.1
Inactive Customers,Dresses,511,42583.76013755798,4.03
Inactive Customers,Active,848,42236.27004313469,4
Inactive Customers,Pants,622,38252.35015296936,3.62
Inactive Customers,Blazers & Jackets,298,27754.300149440765,2.63
Inactive Customers,Maternity,488,25961.32994890213,2.46
Inactive Customers,Underwear,715,19588.90002346039,1.86
Inactive Customers,Plus,420,17937.82005214691,1.7
Inactive Customers,Pants & Capris,328,17653.27008152008,1.67
Inactive Customers,Socks,561,13150.11002111435,1.25
Inactive Customers,Suits,107,12026.699981689453,1.14
Inactive Customers,Skirts,163,7744.580024719238,0.73
Inactive Customers,Leggings,273,7655.989981651306,0.73
Inactive Customers,Socks & Hosiery,374,6323.710001707077,0.6
Inactive Customers,Jumpsuits & Rompers,73,3585.830015182495,0.34
Inactive Customers,Clothing Sets,22,2272.9200019836426,0.22
Loyal Customers,Jeans,97,9396.470031738281,11.5
Loyal Customers,Outerwear & Coats,48,7477.950002670288,9.15
Loyal Customers,Sweaters,81,6145.619993209839,7.52
Loyal Customers,Swim,103,6003.489988327026,7.35
Loyal Customers,Suits & Sport Coats,40,5762.089994430542,7.05
Loyal Customers,Fashion Hoodies & Sweatshirts,87,5068.1599979400635,6.2
Loyal Customers,Pants,61,4116.310018539429,5.04
Loyal Customers,Dresses,47,3872.619994163513,4.74
Loyal Customers,Tops & Tees,94,3723.120008468628,4.56
Loyal Customers,Shorts,92,3568.0200119018555,4.37
Loyal Customers,Active,60,3537.2199969291687,4.33
Loyal Customers,Sleep & Lounge,77,3441.940001487732,4.21
Loyal Customers,Intimates,97,3121.2000160217285,3.82
Loyal Customers,Accessories,60,2928.730003595352,3.59
Loyal Customers,Maternity,43,2514.8899960517883,3.08
Loyal Customers,Blazers & Jackets,29,2267.869994163513,2.78
Loyal Customers,Underwear,63,1728.9100079536438,2.12
Loyal Customers,Plus,41,1582.4799900054932,1.94
Loyal Customers,Pants & Capris,26,1348.010012626648,1.65
Loyal Customers,Skirts,19,1094.549997329712,1.34
Loyal Customers,Leggings,27,855.1099972724915,1.05
Loyal Customers,Socks & Hosiery,40,745.7800023555756,0.91
Loyal Customers,Socks,39,637.6799974441528,0.78
Loyal Customers,Suits,4,563.9899978637695,0.69
Loyal Customers,Jumpsuits & Rompers,7,184.55999946594238,0.23
Repeat Buyers,Outerwear & Coats,422,62007.5999584198,12.06
Repeat Buyers,Jeans,591,59686.16008377075,11.6
Repeat Buyers,Sweaters,489,38638.26999759674,7.51
Repeat Buyers,Suits & Sport Coats,251,31949.809935569763,6.21
Repeat Buyers,Fashion Hoodies & Sweatshirts,547,31186.000009536743,6.06
Repeat Buyers,Sleep & Lounge,519,28066.230031967163,5.46
Repeat Buyers,Swim,488,26718.500024795532,5.19
Repeat Buyers,Shorts,528,24663.27006816864,4.79
Repeat Buyers,Tops & Tees,565,23919.26005601883,4.65
Repeat Buyers,Active,403,22971.559975862503,4.47
Repeat Buyers,Intimates,624,22575.5200548172,4.39
Repeat Buyers,Pants,361,21641.060068130493,4.21
Repeat Buyers,Dresses,239,20645.720027923584,4.01
Repeat Buyers,Accessories,458,19711.249980449677,3.83
Repeat Buyers,Blazers & Jackets,175,17418.80004644394,3.39
Repeat Buyers,Maternity,210,10398.589980602264,2.02
Repeat Buyers,Underwear,349,10151.570009708405,1.97
Repeat Buyers,Pants & Capris,165,8171.030053138733,1.59
Repeat Buyers,Plus,191,7275.9299919605255,1.41
Repeat Buyers,Skirts,107,6103.270015716553,1.19
Repeat Buyers,Suits,51,5288.800022125244,1.03
Repeat Buyers,Socks,271,5059.110000133514,0.98
Repeat Buyers,Leggings,152,4358.449980735779,0.85
Repeat Buyers,Socks & Hosiery,165,2590.249997138977,0.5
Repeat Buyers,Jumpsuits & Rompers,44,2272.620011329651,0.44
Repeat Buyers,Clothing Sets,12,898.930009841919,0.17
