traffic_source,year,month,users
Adwords,2019,1,8
Email,2019,1,3
Organic,2019,1,2
Facebook,2019,1,1
YouTube,2019,1,1
Email,2019,2,19
Adwords,2019,2,15
YouTube,2019,2,7
Facebook,2019,2,2
Organic,2019,2,2
Email,2019,3,42
Adwords,2019,3,27
YouTube,2019,3,20
Facebook,2019,3,13
Organic,2019,3,5
Email,2019,4,57
Adwords,2019,4,50
Facebook,2019,4,16
YouTube,2019,4,9
Organic,2019,4,5
Email,2019,5,75
Adwords,2019,5,52
YouTube,2019,5,25
Facebook,2019,5,19
Organic,2019,5,5
Email,2019,6,106
Adwords,2019,6,65
Facebook,2019,6,29
YouTube,2019,6,23
Organic,2019,6,13
Email,2019,7,109
Adwords,2019,7,91
Facebook,2019,7,35
YouTube,2019,7,31
Organic,2019,7,14
Email,2019,8,139
Adwords,2019,8,85
Facebook,2019,8,29
YouTube,2019,8,28
Organic,2019,8,22
Email,2019,9,133
Adwords,2019,9,93
YouTube,2019,9,38
Facebook,2019,9,30
Organic,2019,9,9
Email,2019,10,194
Adwords,2019,10,125
YouTube,2019,10,42
Facebook,2019,10,39
Organic,2019,10,23
Email,2019,11,178
Adwords,2019,11,122
YouTube,2019,11,54
Facebook,2019,11,45
Organic,2019,11,17
Email,2019,12,208
Adwords,2019,12,139
YouTube,2019,12,47
Facebook,2019,12,46
Organic,2019,12,18
Email,2020,1,237
Adwords,2020,1,162
Facebook,2020,1,71
YouTube,2020,1,60
Organic,2020,1,33
Email,2020,2,241
Adwords,2020,2,170
YouTube,2020,2,64
Facebook,2020,2,62
Organic,2020,2,30
Email,2020,3,288
Adwords,2020,3,196
Facebook,2020,3,68
YouTube,2020,3,64
Organic,2020,3,35
Email,2020,4,297
Adwords,2020,4,238
Facebook,2020,4,84
YouTube,2020,4,76
Organic,2020,4,48
Email,2020,5,324
Adwords,2020,5,206
YouTube,2020,5,90
Facebook,2020,5,81
Organic,2020,5,45
Email,2020,6,340
Adwords,2020,6,224
YouTube,2020,6,94
Facebook,2020,6,86
Organic,2020,6,46
Email,2020,7,376
Adwords,2020,7,243
Facebook,2020,7,114
YouTube,2020,7,110
Organic,2020,7,46
Email,2020,8,363
Adwords,2020,8,288
YouTube,2020,8,106
Facebook,2020,8,83
Organic,2020,8,45
Email,2020,9,409
Adwords,2020,9,260
YouTube,2020,9,101
Facebook,2020,9,95
Organic,2020,9,66
Email,2020,10,447
Adwords,2020,10,311
YouTube,2020,10,119
Facebook,2020,10,113
Organic,2020,10,60
Email,2020,11,448
Adwords,2020,11,311
Facebook,2020,11,122
YouTube,2020,11,113
Organic,2020,11,58
Email,2020,12,456
Adwords,2020,12,287
Facebook,2020,12,122
YouTube,2020,12,121
Organic,2020,12,62
Email,2021,1,532
Adwords,2021,1,373
Facebook,2021,1,141
YouTube,2021,1,131
Organic,2021,1,72
Email,2021,2,456
Adwords,2021,2,344
Facebook,2021,2,145
YouTube,2021,2,144
Organic,2021,2,52
Email,2021,3,542
Adwords,2021,3,395
YouTube,2021,3,145
Facebook,2021,3,138
Organic,2021,3,61
Email,2021,4,577
Adwords,2021,4,416
Facebook,2021,4,175
YouTube,2021,4,133
Organic,2021,4,85
Email,2021,5,588
Adwords,2021,5,433
YouTube,2021,5,158
Facebook,2021,5,151
Organic,2021,5,84
Email,2021,6,634
Adwords,2021,6,433
YouTube,2021,6,183
Facebook,2021,6,160
Organic,2021,6,72
Email,2021,7,687
Adwords,2021,7,483
YouTube,2021,7,195
Facebook,2021,7,188
Organic,2021,7,93
Email,2021,8,678
Adwords,2021,8,510
Facebook,2021,8,192
YouTube,2021,8,171
Organic,2021,8,82
Email,2021,9,715
Adwords,2021,9,510
Facebook,2021,9,188
YouTube,2021,9,173
Organic,2021,9,97
Email,2021,10,778
Adwords,2021,10,528
Facebook,2021,10,220
YouTube,2021,10,200
Organic,2021,10,105
Email,2021,11,769
Adwords,2021,11,573
Facebook,2021,11,210
YouTube,2021,11,187
Organic,2021,11,109
Email,2021,12,888
Adwords,2021,12,607
YouTube,2021,12,243
Facebook,2021,12,227
Organic,2021,12,104
Email,2022,1,950
Adwords,2022,1,660
Facebook,2022,1,237
YouTube,2022,1,214
Organic,2022,1,134
Email,2022,2,867
Adwords,2022,2,577
Facebook,2022,2,217
YouTube,2022,2,198
Organic,2022,2,94
Email,2022,3,991
Adwords,2022,3,690
Facebook,2022,3,261
YouTube,2022,3,252
Organic,2022,3,153
Email,2022,4,1000
Adwords,2022,4,699
Facebook,2022,4,261
YouTube,2022,4,247
Organic,2022,4,119
Email,2022,5,1085
Adwords,2022,5,729
Facebook,2022,5,301
YouTube,2022,5,274
Organic,2022,5,128
Email,2022,6,1080
Adwords,2022,6,778
Facebook,2022,6,300
YouTube,2022,6,276
Organic,2022,6,131
Email,2022,7,1135
Adwords,2022,7,831
YouTube,2022,7,303
Facebook,2022,7,280
Organic,2022,7,145
Email,2022,8,1198
Adwords,2022,8,833
Facebook,2022,8,340
YouTube,2022,8,330
Organic,2022,8,154
Email,2022,9,1240
Adwords,2022,9,847
Facebook,2022,9,320
YouTube,2022,9,308
Organic,2022,9,141
Email,2022,10,1329
Adwords,2022,10,893
Facebook,2022,10,338
YouTube,2022,10,338
Organic,2022,10,175
Email,2022,11,1318
Adwords,2022,11,1006
Facebook,2022,11,352
YouTube,2022,11,336
Organic,2022,11,181
Email,2022,12,1456
Adwords,2022,12,1013
YouTube,2022,12,381
Facebook,2022,12,348
Organic,2022,12,165
Email,2023,1,1526
Adwords,2023,1,1125
Facebook,2023,1,407
YouTube,2023,1,365
Organic,2023,1,230
Email,2023,2,1430
Adwords,2023,2,1056
YouTube,2023,2,383
Facebook,2023,2,364
Organic,2023,2,195
Email,2023,3,1657
Adwords,2023,3,1133
Facebook,2023,3,414
YouTube,2023,3,414
Organic,2023,3,237
Email,2023,4,1678
Adwords,2023,4,1171
YouTube,2023,4,441
Facebook,2023,4,437
Organic,2023,4,205
Email,2023,5,1835
Adwords,2023,5,1246
YouTube,2023,5,478
Facebook,2023,5,436
Organic,2023,5,239
Email,2023,6,1748
Adwords,2023,6,1335
Facebook,2023,6,484
YouTube,2023,6,456
Organic,2023,6,230
Email,2023,7,1961
Adwords,2023,7,1381
Facebook,2023,7,546
YouTube,2023,7,532
Organic,2023,7,247
Email,2023,8,2105
Adwords,2023,8,1525
Facebook,2023,8,558
YouTube,2023,8,556
Organic,2023,8,281
Email,2023,9,2183
Adwords,2023,9,1558
YouTube,2023,9,571
Facebook,2023,9,553
Organic,2023,9,300
Email,2023,10,2408
Adwords,2023,10,1707
YouTube,2023,10,611
Facebook,2023,10,607
Organic,2023,10,327
Email,2023,11,2443
Adwords,2023,11,1738
Facebook,2023,11,662
YouTube,2023,11,647
Organic,2023,11,326
Email,2023,12,2799
Adwords,2023,12,1990
YouTube,2023,12,720
Facebook,2023,12,713
Organic,2023,12,365
Email,2024,1,2974
Adwords,2024,1,2071
YouTube,2024,1,788
Facebook,2024,1,785
Organic,2024,1,384
Email,2024,2,3143
Adwords,2024,2,2202
Facebook,2024,2,829
YouTube,2024,2,795
Organic,2024,2,385
Email,2024,3,3736
Adwords,2024,3,2583
YouTube,2024,3,1017
Facebook,2024,3,1012
Organic,2024,3,480
Email,2024,4,4459
Adwords,2024,4,3272
Facebook,2024,4,1199
YouTube,2024,4,1187
Organic,2024,4,593
Email,2024,5,3013
Adwords,2024,5,2307
YouTube,2024,5,898
Facebook,2024,5,872
Organic,2024,5,478
