category,cart_sess,purchase_sess,cart_to_purchase_cvr
leggings,5258,3078,58.540000000000
suits&sportcoats,8540,5054,59.180000000000
tops&tees,20084,11731,58.410000000000
jumpsuits&rompers,1568,931,59.380000000000
suits,1741,1021,58.640000000000
pants&capris,5829,3415,58.590000000000
outerwear&coats,15148,8916,58.860000000000
pants,12165,7237,59.490000000000
underwear,12646,7438,58.820000000000
shorts,18836,11229,59.610000000000
skirts,3456,2053,59.400000000000
blazers&jackets,5342,3128,58.550000000000
accessories,16734,9946,59.440000000000
dresses,9283,5588,60.200000000000
sleep&lounge,18977,11286,59.470000000000
maternity,8485,5031,59.290000000000
jeans,21655,12898,59.560000000000
sweaters,18671,10959,58.700000000000
intimates,22728,13328,58.640000000000
socks,10437,6229,59.680000000000
swim,19167,11269,58.790000000000
fashionhoodies&sweatshirts,20034,11855,59.170000000000
clothingsets,350,200,57.140000000000
plus,7228,4300,59.490000000000
active,15112,8910,58.960000000000
socks&hosiery,6339,3832,60.450000000000
