cohort_quarter_label,period_offset,active_customers,cohort_size,retention_pct
2019-Q1,0,25,25,100.000000000000
2019-Q1,1,1,25,4.000000000000
2019-Q1,2,1,25,4.000000000000
2019-Q1,6,1,25,4.000000000000
2019-Q1,7,1,25,4.000000000000
2019-Q1,10,1,25,4.000000000000
2019-Q1,12,1,25,4.000000000000
2019-Q1,14,1,25,4.000000000000
2019-Q1,16,1,25,4.000000000000
2019-Q1,18,1,25,4.000000000000
2019-Q2,0,117,117,100.000000000000
2019-Q2,1,3,117,2.560000000000
2019-Q2,2,2,117,1.710000000000
2019-Q2,5,5,117,4.270000000000
2019-Q2,6,1,117,0.850000000000
2019-Q2,7,2,117,1.710000000000
2019-Q2,9,3,117,2.560000000000
2019-Q2,10,1,117,0.850000000000
2019-Q2,11,3,117,2.560000000000
2019-Q2,12,1,117,0.850000000000
2019-Q2,14,1,117,0.850000000000
2019-Q2,15,2,117,1.710000000000
2019-Q2,16,3,117,2.560000000000
2019-Q2,17,2,117,1.710000000000
2019-Q2,18,1,117,0.850000000000
2019-Q2,20,1,117,0.850000000000
2019-Q3,0,181,181,100.000000000000
2019-Q3,1,2,181,1.100000000000
2019-Q3,2,3,181,1.660000000000
2019-Q3,3,2,181,1.100000000000
2019-Q3,5,3,181,1.660000000000
2019-Q3,6,3,181,1.660000000000
2019-Q3,7,5,181,2.760000000000
2019-Q3,9,3,181,1.660000000000
2019-Q3,10,3,181,1.660000000000
2019-Q3,11,4,181,2.210000000000
2019-Q3,12,1,181,0.550000000000
2019-Q3,13,1,181,0.550000000000
2019-Q3,14,1,181,0.550000000000
2019-Q3,15,1,181,0.550000000000
2019-Q3,18,1,181,0.550000000000
2019-Q3,19,1,181,0.550000000000
2019-Q4,0,242,242,100.000000000000
2019-Q4,1,5,242,2.070000000000
2019-Q4,2,1,242,0.410000000000
2019-Q4,3,6,242,2.480000000000
2019-Q4,4,3,242,1.240000000000
2019-Q4,5,4,242,1.650000000000
2019-Q4,6,7,242,2.890000000000
2019-Q4,7,3,242,1.240000000000
2019-Q4,8,3,242,1.240000000000
2019-Q4,9,4,242,1.650000000000
2019-Q4,10,1,242,0.410000000000
2019-Q4,11,6,242,2.480000000000
2019-Q4,13,2,242,0.830000000000
2019-Q4,14,1,242,0.410000000000
2019-Q4,15,3,242,1.240000000000
2019-Q4,16,1,242,0.410000000000
2019-Q4,17,4,242,1.650000000000
2019-Q4,18,1,242,0.410000000000
2020-Q1,0,349,349,100.000000000000
2020-Q1,1,1,349,0.290000000000
2020-Q1,2,4,349,1.150000000000
2020-Q1,3,4,349,1.150000000000
2020-Q1,4,2,349,0.570000000000
2020-Q1,5,2,349,0.570000000000
2020-Q1,6,4,349,1.150000000000
2020-Q1,8,6,349,1.720000000000
2020-Q1,9,7,349,2.010000000000
2020-Q1,10,4,349,1.150000000000
2020-Q1,11,3,349,0.860000000000
2020-Q1,12,5,349,1.430000000000
2020-Q1,13,3,349,0.860000000000
2020-Q1,14,8,349,2.290000000000
2020-Q1,15,6,349,1.720000000000
2020-Q1,16,6,349,1.720000000000
2020-Q1,17,2,349,0.570000000000
2020-Q2,0,447,447,100.000000000000
2020-Q2,1,4,447,0.890000000000
2020-Q2,2,4,447,0.890000000000
2020-Q2,3,5,447,1.120000000000
2020-Q2,4,6,447,1.340000000000
2020-Q2,5,9,447,2.010000000000
2020-Q2,6,10,447,2.240000000000
2020-Q2,7,2,447,0.450000000000
2020-Q2,8,8,447,1.790000000000
2020-Q2,9,5,447,1.120000000000
2020-Q2,10,4,447,0.890000000000
2020-Q2,11,3,447,0.670000000000
2020-Q2,12,5,447,1.120000000000
2020-Q2,13,6,447,1.340000000000
2020-Q2,14,3,447,0.670000000000
2020-Q2,15,10,447,2.240000000000
2020-Q2,16,1,447,0.220000000000
2020-Q3,0,498,498,100.000000000000
2020-Q3,1,8,498,1.610000000000
2020-Q3,2,5,498,1.000000000000
2020-Q3,3,8,498,1.610000000000
2020-Q3,4,4,498,0.800000000000
2020-Q3,5,10,498,2.010000000000
2020-Q3,6,1,498,0.200000000000
2020-Q3,7,6,498,1.200000000000
2020-Q3,8,6,498,1.200000000000
2020-Q3,9,4,498,0.800000000000
2020-Q3,10,7,498,1.410000000000
2020-Q3,11,3,498,0.600000000000
2020-Q3,12,5,498,1.000000000000
2020-Q3,13,5,498,1.000000000000
2020-Q3,14,3,498,0.600000000000
2020-Q3,15,1,498,0.200000000000
2020-Q4,0,559,559,100.000000000000
2020-Q4,1,11,559,1.970000000000
2020-Q4,2,8,559,1.430000000000
2020-Q4,3,11,559,1.970000000000
2020-Q4,4,7,559,1.250000000000
2020-Q4,5,7,559,1.250000000000
2020-Q4,6,5,559,0.890000000000
2020-Q4,7,10,559,1.790000000000
2020-Q4,8,10,559,1.790000000000
2020-Q4,9,9,559,1.610000000000
2020-Q4,10,4,559,0.720000000000
2020-Q4,11,11,559,1.970000000000
2020-Q4,12,6,559,1.070000000000
2020-Q4,13,5,559,0.890000000000
2020-Q4,14,4,559,0.720000000000
2021-Q1,0,668,668,100.000000000000
2021-Q1,1,7,668,1.050000000000
2021-Q1,2,14,668,2.100000000000
2021-Q1,3,10,668,1.500000000000
2021-Q1,4,7,668,1.050000000000
2021-Q1,5,5,668,0.750000000000
2021-Q1,6,14,668,2.100000000000
2021-Q1,7,15,668,2.250000000000
2021-Q1,8,9,668,1.350000000000
2021-Q1,9,9,668,1.350000000000
2021-Q1,10,8,668,1.200000000000
2021-Q1,11,12,668,1.800000000000
2021-Q1,12,18,668,2.690000000000
2021-Q1,13,6,668,0.900000000000
2021-Q2,0,762,762,100.000000000000
2021-Q2,1,12,762,1.570000000000
2021-Q2,2,13,762,1.710000000000
2021-Q2,3,8,762,1.050000000000
2021-Q2,4,9,762,1.180000000000
2021-Q2,5,9,762,1.180000000000
2021-Q2,6,15,762,1.970000000000
2021-Q2,7,11,762,1.440000000000
2021-Q2,8,12,762,1.570000000000
2021-Q2,9,9,762,1.180000000000
2021-Q2,10,11,762,1.440000000000
2021-Q2,11,11,762,1.440000000000
2021-Q2,12,5,762,0.660000000000
2021-Q3,0,903,903,100.000000000000
2021-Q3,1,15,903,1.660000000000
2021-Q3,2,13,903,1.440000000000
2021-Q3,3,14,903,1.550000000000
2021-Q3,4,17,903,1.880000000000
2021-Q3,5,15,903,1.660000000000
2021-Q3,6,21,903,2.330000000000
2021-Q3,7,16,903,1.770000000000
2021-Q3,8,14,903,1.550000000000
2021-Q3,9,13,903,1.440000000000
2021-Q3,10,21,903,2.330000000000
2021-Q3,11,10,903,1.110000000000
2021-Q4,0,1038,1038,100.000000000000
2021-Q4,1,20,1038,1.930000000000
2021-Q4,2,21,1038,2.020000000000
2021-Q4,3,17,1038,1.640000000000
2021-Q4,4,20,1038,1.930000000000
2021-Q4,5,20,1038,1.930000000000
2021-Q4,6,23,1038,2.220000000000
2021-Q4,7,17,1038,1.640000000000
2021-Q4,8,17,1038,1.640000000000
2021-Q4,9,17,1038,1.640000000000
2021-Q4,10,5,1038,0.480000000000
2022-Q1,0,1148,1148,100.000000000000
2022-Q1,1,22,1148,1.920000000000
2022-Q1,2,28,1148,2.440000000000
2022-Q1,3,16,1148,1.390000000000
2022-Q1,4,17,1148,1.480000000000
2022-Q1,5,29,1148,2.530000000000
2022-Q1,6,22,1148,1.920000000000
2022-Q1,7,30,1148,2.610000000000
2022-Q1,8,19,1148,1.660000000000
2022-Q1,9,10,1148,0.870000000000
2022-Q2,0,1313,1313,100.000000000000
2022-Q2,1,27,1313,2.060000000000
2022-Q2,2,30,1313,2.280000000000
2022-Q2,3,27,1313,2.060000000000
2022-Q2,4,22,1313,1.680000000000
2022-Q2,5,26,1313,1.980000000000
2022-Q2,6,18,1313,1.370000000000
2022-Q2,7,34,1313,2.590000000000
2022-Q2,8,7,1313,0.530000000000
2022-Q3,0,1467,1467,100.000000000000
2022-Q3,1,39,1467,2.660000000000
2022-Q3,2,34,1467,2.320000000000
2022-Q3,3,37,1467,2.520000000000
2022-Q3,4,25,1467,1.700000000000
2022-Q3,5,28,1467,1.910000000000
2022-Q3,6,40,1467,2.730000000000
2022-Q3,7,18,1467,1.230000000000
2022-Q4,0,1683,1683,100.000000000000
2022-Q4,1,34,1683,2.020000000000
2022-Q4,2,55,1683,3.270000000000
2022-Q4,3,34,1683,2.020000000000
2022-Q4,4,48,1683,2.850000000000
2022-Q4,5,40,1683,2.380000000000
2022-Q4,6,15,1683,0.890000000000
2023-Q1,0,1770,1770,100.000000000000
2023-Q1,1,50,1770,2.820000000000
2023-Q1,2,51,1770,2.880000000000
2023-Q1,3,48,1770,2.710000000000
2023-Q1,4,40,1770,2.260000000000
2023-Q1,5,19,1770,1.070000000000
2023-Q2,0,2112,2112,100.000000000000
2023-Q2,1,81,2112,3.840000000000
2023-Q2,2,74,2112,3.500000000000
2023-Q2,3,62,2112,2.940000000000
2023-Q2,4,27,2112,1.280000000000
2023-Q3,0,2574,2574,100.000000000000
2023-Q3,1,84,2574,3.260000000000
2023-Q3,2,88,2574,3.420000000000
2023-Q3,3,43,2574,1.670000000000
2023-Q4,0,3034,3034,100.000000000000
2023-Q4,1,154,3034,5.080000000000
2023-Q4,2,69,3034,2.270000000000
2024-Q1,0,3754,3754,100.000000000000
2024-Q1,1,128,3754,3.410000000000
2024-Q2,0,3131,3131,100.000000000000
