cohort_year,period_offset,active_customers,cohort_size,retention_rate
2019,0,565,565,100.000000000000
2019,1,31,565,5.490000000000
2019,2,34,565,6.020000000000
2019,3,26,565,4.600000000000
2019,4,17,565,3.010000000000
2019,5,8,565,1.420000000000
2020,0,1853,1853,100.000000000000
2020,1,100,1853,5.400000000000
2020,2,88,1853,4.750000000000
2020,3,86,1853,4.640000000000
2020,4,32,1853,1.730000000000
2021,0,3371,3371,100.000000000000
2021,1,213,3371,6.320000000000
2021,2,215,3371,6.380000000000
2021,3,92,3371,2.730000000000
2022,0,5611,5611,100.000000000000
2022,1,464,5611,8.270000000000
2022,2,179,5611,3.190000000000
2023,0,9490,9490,100.000000000000
2023,1,488,9490,5.140000000000
2024,0,6885,6885,100.000000000000
