hour_of_day,cart_sess,purchase_sess,cart_to_purchase_rate
0,15474,9484,61.290000000000
23,8525,7883,92.470000000000
15,22144,8528,38.510000000000
9,23095,9372,40.580000000000
3,23107,9428,40.800000000000
12,23116,9440,40.840000000000
6,23297,9469,40.640000000000
21,3518,3130,88.970000000000
7,23337,9562,40.970000000000
1,23118,9393,40.630000000000
18,14885,1647,11.060000000000
10,23068,9396,40.730000000000
4,23241,9515,40.940000000000
19,7831,48,0.610000000000
13,23614,9655,40.890000000000
5,23270,9610,41.300000000000
22,6219,5731,92.150000000000
16,19822,6350,32.040000000000
2,23535,9582,40.710000000000
17,17280,3994,23.110000000000
11,23310,9518,40.830000000000
20,1161,873,75.190000000000
14,23454,9808,41.820000000000
8,23262,9446,40.610000000000
