traffic_source,year,month,sessions
Email,2019,1,3436
Adwords,2019,1,2272
Facebook,2019,1,833
YouTube,2019,1,755
Organic,2019,1,377
Email,2019,2,3167
Adwords,2019,2,2169
Facebook,2019,2,740
YouTube,2019,2,724
Organic,2019,2,395
Email,2019,3,3580
Adwords,2019,3,2448
YouTube,2019,3,875
Facebook,2019,3,789
Organic,2019,3,403
Email,2019,4,3519
Adwords,2019,4,2309
Facebook,2019,4,798
YouTube,2019,4,781
Organic,2019,4,401
Email,2019,5,3702
Adwords,2019,5,2431
YouTube,2019,5,810
Facebook,2019,5,808
Organic,2019,5,377
Email,2019,6,3518
Adwords,2019,6,2391
Facebook,2019,6,816
YouTube,2019,6,759
Organic,2019,6,395
Email,2019,7,3579
Adwords,2019,7,2386
Facebook,2019,7,888
YouTube,2019,7,827
Organic,2019,7,387
Email,2019,8,3880
Adwords,2019,8,2384
Facebook,2019,8,828
YouTube,2019,8,825
Organic,2019,8,426
Email,2019,9,3666
Adwords,2019,9,2380
YouTube,2019,9,875
Facebook,2019,9,797
Organic,2019,9,359
Email,2019,10,3747
Adwords,2019,10,2613
Facebook,2019,10,860
YouTube,2019,10,809
Organic,2019,10,409
Email,2019,11,3627
Adwords,2019,11,2424
YouTube,2019,11,838
Facebook,2019,11,778
Organic,2019,11,436
Email,2019,12,3813
Adwords,2019,12,2503
YouTube,2019,12,875
Facebook,2019,12,829
Organic,2019,12,402
Email,2020,1,3895
Adwords,2020,1,2556
YouTube,2020,1,893
Facebook,2020,1,860
Organic,2020,1,410
Email,2020,2,3619
Adwords,2020,2,2434
YouTube,2020,2,812
Facebook,2020,2,775
Organic,2020,2,407
Email,2020,3,3937
Adwords,2020,3,2634
Facebook,2020,3,863
YouTube,2020,3,820
Organic,2020,3,405
Email,2020,4,3818
Adwords,2020,4,2503
Facebook,2020,4,852
YouTube,2020,4,827
Organic,2020,4,403
Email,2020,5,3917
Adwords,2020,5,2621
YouTube,2020,5,917
Facebook,2020,5,882
Organic,2020,5,457
Email,2020,6,3857
Adwords,2020,6,2498
YouTube,2020,6,922
Facebook,2020,6,870
Organic,2020,6,426
Email,2020,7,4152
Adwords,2020,7,2673
YouTube,2020,7,916
Facebook,2020,7,900
Organic,2020,7,391
Email,2020,8,4036
Adwords,2020,8,2641
Facebook,2020,8,920
YouTube,2020,8,890
Organic,2020,8,456
Email,2020,9,3904
Adwords,2020,9,2571
YouTube,2020,9,884
Facebook,2020,9,848
Organic,2020,9,476
Email,2020,10,4092
Adwords,2020,10,2759
YouTube,2020,10,926
Facebook,2020,10,921
Organic,2020,10,424
Email,2020,11,3908
Adwords,2020,11,2579
Facebook,2020,11,877
YouTube,2020,11,851
Organic,2020,11,440
Email,2020,12,4146
Adwords,2020,12,2755
YouTube,2020,12,928
Facebook,2020,12,906
Organic,2020,12,433
Email,2021,1,4131
Adwords,2021,1,2696
YouTube,2021,1,976
Facebook,2021,1,923
Organic,2021,1,464
Email,2021,2,3842
Adwords,2021,2,2549
Facebook,2021,2,885
YouTube,2021,2,863
Organic,2021,2,427
Email,2021,3,4206
Adwords,2021,3,2774
Facebook,2021,3,951
YouTube,2021,3,938
Organic,2021,3,484
Email,2021,4,4188
