id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
101104,69639,55545,14235,273075,Cancelled,2021-12-27 23:35:57 UTC,,,,0.0199999995529651
17970,12402,9819,14235,48492,Complete,2024-01-21 08:21:43 UTC,2024-01-19 18:09:00 UTC,2024-01-21 09:20:00 UTC,,0.0199999995529651
46481,32099,25651,14235,125372,Complete,2019-10-06 06:14:19 UTC,2019-10-03 13:08:00 UTC,2019-10-04 01:04:00 UTC,,0.0199999995529651
162654,112208,89828,14235,439099,Processing,2022-12-11 00:43:18 UTC,,,,0.0199999995529651
61938,42730,34156,14235,167190,Returned,2023-09-20 11:58:48 UTC,2023-09-23 14:58:00 UTC,2023-09-25 07:58:00 UTC,2023-09-28 00:40:00 UTC,0.0199999995529651
117130,80725,64596,14235,316162,Returned,2023-12-28 08:00:06 UTC,2023-12-30 07:14:00 UTC,2024-01-02 06:12:00 UTC,2024-01-03 09:13:00 UTC,0.0199999995529651
180070,124268,99565,14235,486034,Shipped,2024-02-08 14:55:02 UTC,2024-02-10 19:42:00 UTC,,,0.0199999995529651
160886,110954,88799,14159,434308,Cancelled,2023-06-07 07:48:24 UTC,,,,0.49000000953674311
177929,122779,98382,14159,480293,Cancelled,2024-02-15 18:10:54 UTC,,,,0.49000000953674311
15527,10713,8472,14159,41960,Complete,2023-04-15 14:29:33 UTC,2023-04-17 18:57:00 UTC,2023-04-21 11:01:00 UTC,,0.49000000953674311
35519,24542,19640,14159,95853,Complete,2022-06-29 05:53:39 UTC,2022-06-30 00:38:00 UTC,2022-07-01 05:36:00 UTC,,0.49000000953674311
101041,69598,55514,14159,272904,Complete,2023-10-08 09:42:06 UTC,2023-10-07 06:32:00 UTC,2023-10-09 17:17:00 UTC,,0.49000000953674311
41290,28516,22819,14159,111372,Shipped,2019-03-04 00:32:13 UTC,2019-03-02 15:32:00 UTC,,,0.49000000953674311
128018,88253,70607,14159,345574,Shipped,2023-11-01 06:04:03 UTC,2023-10-31 17:04:00 UTC,,,0.49000000953674311
165371,114053,91327,14159,446390,Shipped,2020-10-15 02:33:36 UTC,2020-10-16 16:47:00 UTC,,,0.49000000953674311
114567,78937,63170,28700,309313,Cancelled,2020-02-23 14:17:43 UTC,,,,1.5
72943,50257,40118,28700,196966,Complete,2023-11-23 16:48:18 UTC,2023-11-24 08:31:00 UTC,2023-11-27 18:40:00 UTC,,1.5
144038,99381,79616,28700,388800,Complete,2021-06-05 00:14:03 UTC,2021-06-06 15:34:00 UTC,2021-06-11 01:04:00 UTC,,1.5
73418,50568,40380,28700,198244,Processing,2023-02-23 08:40:40 UTC,,,,1.5
79507,54749,43720,14202,214662,Processing,2023-02-28 07:24:49 UTC,,,,1.5
166267,114686,91826,14202,448824,Processing,2023-07-25 16:29:38 UTC,,,,1.5
176373,121704,97517,28700,476085,Processing,2023-12-05 01:30:43 UTC,,,,1.5
1606,1104,845,28700,4309,Returned,2019-09-24 16:01:18 UTC,2019-09-26 09:30:00 UTC,2019-09-29 21:17:00 UTC,2019-10-02 12:11:00 UTC,1.5
47171,32574,26027,14202,127205,Returned,2022-06-01 03:14:12 UTC,2022-06-01 09:50:00 UTC,2022-06-06 02:08:00 UTC,2022-06-08 20:08:00 UTC,1.5
69292,47803,38173,14202,187181,Returned,2022-02-01 15:05:09 UTC,2022-02-02 09:37:00 UTC,2022-02-03 17:51:00 UTC,2022-02-04 07:21:00 UTC,1.5
32041,22169,17652,28700,86492,Shipped,2020-07-30 18:01:58 UTC,2020-07-31 02:13:00 UTC,,,1.5
62925,43419,34712,14202,169890,Shipped,2022-03-26 13:31:05 UTC,2022-03-24 18:43:00 UTC,,,1.5
171330,118172,94589,28700,462474,Shipped,2023-04-14 02:12:18 UTC,2023-04-12 23:04:00 UTC,,,1.5
140535,96952,77598,13629,379419,Complete,2023-06-22 15:46:58 UTC,2023-06-23 06:07:00 UTC,2023-06-27 17:13:00 UTC,,1.5099999904632568
16086,11095,8763,13629,43467,Processing,2023-11-18 22:37:50 UTC,,,,1.5099999904632568
42306,29222,23381,14298,114113,Complete,2024-03-17 02:56:14 UTC,2024-03-17 14:03:00 UTC,2024-03-19 20:24:00 UTC,,1.7200000286102295
143686,99141,79414,14298,387840,Complete,2023-01-24 22:59:39 UTC,2023-01-25 02:13:00 UTC,2023-01-25 20:32:00 UTC,,1.7200000286102295
50492,34855,27870,14298,136168,Returned,2024-02-12 05:51:37 UTC,2024-02-14 15:12:00 UTC,2024-02-14 18:22:00 UTC,2024-02-15 09:28:00 UTC,1.7200000286102295
130052,89619,71682,14298,351068,Returned,2022-05-27 03:01:50 UTC,2022-05-27 13:11:00 UTC,2022-06-01 07:56:00 UTC,2022-06-02 13:39:00 UTC,1.7200000286102295
57831,39864,31870,14298,156107,Shipped,2024-04-27 12:57:25 UTC,2024-04-28 07:09:00 UTC,,,1.7200000286102295
106584,73408,58631,14298,287862,Shipped,2020-10-15 01:29:03 UTC,2020-10-15 19:17:00 UTC,,,1.7200000286102295
109830,75676,60510,12536,296576,Cancelled,2024-03-07 22:37:59 UTC,,,,1.75
160697,110823,88702,12536,433811,Cancelled,2022-01-17 11:03:27 UTC,,,,1.75
92789,63915,50939,12536,250566,Complete,2020-07-11 23:52:48 UTC,2020-07-12 13:08:00 UTC,2020-07-13 10:13:00 UTC,,1.75
107778,74230,59340,12536,291066,Returned,2023-06-01 11:11:58 UTC,2023-06-03 16:29:00 UTC,2023-06-08 05:56:00 UTC,2023-06-10 01:55:00 UTC,1.75
179555,123912,99280,12536,484633,Returned,2023-06-16 23:44:11 UTC,2023-06-17 09:05:00 UTC,2023-06-19 16:47:00 UTC,2023-06-21 09:40:00 UTC,1.75
50561,34902,27909,12536,136349,Shipped,2023-11-20 00:57:28 UTC,2023-11-21 06:50:00 UTC,,,1.75
7543,5156,3989,13659,20385,Cancelled,2024-03-19 06:48:25 UTC,,,,1.8200000524520876
21361,14712,11711,13659,57673,Cancelled,2023-12-10 04:05:42 UTC,,,,1.8200000524520876
29886,20642,16451,13659,80691,Complete,2023-03-01 03:52:04 UTC,2023-03-03 17:24:00 UTC,2023-03-07 17:53:00 UTC,,1.8200000524520876
28362,19619,15648,13659,76651,Returned,2024-02-22 07:25:35 UTC,2024-02-23 16:31:00 UTC,2024-02-24 02:24:00 UTC,2024-02-25 00:32:00 UTC,1.8200000524520876
261,192,155,15332,699,Shipped,2024-03-23 12:31:44 UTC,2024-03-25 04:16:00 UTC,,,1.8200000524520876
33329,23040,18358,15332,89946,Shipped,2024-01-07 16:37:45 UTC,2024-01-08 21:39:00 UTC,,,1.8200000524520876
36620,25293,20240,13659,98777,Shipped,2022-06-07 06:32:05 UTC,2022-06-08 23:50:00 UTC,,,1.8200000524520876
128362,88477,70783,15332,346473,Shipped,2024-04-28 21:40:12 UTC,2024-04-30 15:49:00 UTC,,,1.8200000524520876
10880,7469,5861,9204,29383,Cancelled,2024-02-02 23:55:34 UTC,,,,1.950000047683716
165965,114474,91653,9204,448004,Cancelled,2023-10-30 07:41:32 UTC,,,,1.950000047683716
176041,121466,97320,9043,475191,Cancelled,2023-03-04 04:25:51 UTC,,,,1.950000047683716
70,51,44,3049,183,Complete,2023-08-13 07:49:28 UTC,2023-08-12 11:03:00 UTC,2023-08-12 13:27:00 UTC,,1.950000047683716
20981,14466,11497,3049,56640,Complete,2020-06-30 23:52:38 UTC,2020-07-02 15:15:00 UTC,2020-07-03 23:47:00 UTC,,1.950000047683716
92887,63980,50990,9204,250834,Complete,2022-11-13 00:20:27 UTC,2022-11-13 13:58:00 UTC,2022-11-15 11:58:00 UTC,,1.950000047683716
107597,74095,59216,3049,290582,Complete,2024-05-05 15:30:27 UTC,2024-05-08 05:53:00 UTC,2024-05-09 18:32:00 UTC,,1.950000047683716
133433,92001,73643,9204,360217,Complete,2024-03-16 09:18:04 UTC,2024-03-17 15:51:00 UTC,2024-03-19 02:01:00 UTC,,1.950000047683716
57399,39569,31664,9204,154927,Processing,2023-08-07 14:40:43 UTC,,,,1.950000047683716
111430,76808,61448,3049,300899,Processing,2023-01-06 10:10:27 UTC,,,,1.950000047683716
43965,30361,24265,9043,118596,Returned,2024-01-22 14:56:26 UTC,2024-01-23 11:09:00 UTC,2024-01-25 09:05:00 UTC,2024-01-26 21:57:00 UTC,1.950000047683716
93632,64504,51408,3049,252839,Returned,2021-03-08 03:15:55 UTC,2021-03-06 01:06:00 UTC,2021-03-08 03:19:00 UTC,2021-03-11 00:32:00 UTC,1.950000047683716
111581,76918,61540,3049,301305,Returned,2023-07-04 12:54:33 UTC,2023-07-05 01:55:00 UTC,2023-07-07 08:48:00 UTC,2023-07-08 18:37:00 UTC,1.950000047683716
